,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
TSPAN6,1157
TNMD,2
DPM1,1235
SCYL3,805
C1orf112,208
FGR,4548
CFH,3549
FUCA2,1868
GCLC,1169
NFYA,1145
STPG1,571
NIPAL3,2397
LAS1L,2008
ENPP4,1972
SEMA3F,1853
CFTR,1565
ANKIB1,2628
CYP51A1,94
KRIT1,446
RAD52,539
BAD,451
LAP3,6304
CD99,7596
CD99,0
HS3ST1,325
AOC1,111
WNT16,2
HECW1,2
MAD1L1,61
LASP1,10319
SNX11,1313
TMEM176A,2869
M6PR,3411
KLHL13,73
CYP26B1,925
ICA1,1419
DBNDD1,631
ALS2,1637
CASP10,2132
CFLAR,16027
TFPI,6878
NDUFAF7,778
RBM5,7685
MTMR7,73
SLC7A2,1137
ARF5,3041
SARM1,474
POLDIP2,3191
PLXND1,17799
AK2,4621
CD38,719
FKBP4,1737
KDM1A,2744
RBM6,7955
CAMKK1,930
RECQL,869
VPS50,1258
HSPB6,264
ARHGAP33,982
NDUFAB1,1288
PDK4,15447
SLC22A16,7
ZMYND10,369
ABCB5,17
ARX,26
SLC25A13,1017
ST7,1987
CDC27,2549
SLC4A1,9
CALCR,32
HCCS,769
DVL2,1789
PRSS22,592
UPF1,7602
SKAP2,3247
SLC25A5,8690
MCUB,815
HOXA11,1
POLR2J,1027
DHX33,975
MEOX1,26
THSD7A,568
LIG3,1006
RPAP3,1006
ACSM3,420
REXO5,100
CIAPIN1,1502
SPPL2B,3193
FAM214B,1467
COPZ2,322
PRKAR2B,819
MSL3,2599
CREBBP,7413
TSPOAP1,3145
MPO,40
PON1,48
GCFC2,739
WDR54,544
CROT,792
ABCB4,24
KMT2E,5301
RHBDD2,5281
SOX8,54
IBTK,2765
ZNF195,1262
MYCBP2,3910
FBXL3,2793
ITGAL,6182
PDK2,1179
ITGA3,21241
ZFX,2769
LAMP2,10797
ITGA2B,102
ASB4,72
GDE1,3477
REX1BD,1465
CRLF1,58
OSBPL7,2024
TMEM98,3045
YBX2,39
KRT33A,0
MAP3K14,1968
ABCC8,33
CACNG3,0
TMEM132A,664
AP2B1,10938
TAC1,0
ZNF263,1448
CX3CL1,5575
SPATA20,1594
CACNA1G,10
TNFRSF12A,1584
DLX6,1
MAP3K9,1060
RALA,4173
BAIAP2L1,1586
KDM7A,2799
ETV1,4197
AGK,1564
ALDH3B1,10525
TTC22,517
PHTF2,1579
CCL26,3
FARP2,1609
USH1C,3
GGCT,383
DBF4,297
TBXA2R,273
IFRD1,1174
LGALS14,0
COX10,622
GTF2IRD1,1013
PAF1,2541
VPS41,3659
ARHGAP44,3086
ELAC2,2641
SCIN,965
ARSD,3975
PNPLA4,884
MYH13,2
ADIPOR2,3719
CDKL3,30
UPP2,9
PRSS21,344
MARK4,1703
PROM1,131
CCDC124,2248
CEACAM21,442
PAFAH1B1,7675
NOS2,259
DNAH9,421
KIAA0100,5241
SLC13A2,22
GAS7,3498
TRAPPC6A,994
MATK,874
CEACAM7,3
CD79B,127
SCN4A,15
ST7L,427
TKTL1,14
PAX6,5
RPUSD1,904
RHBDF1,2294
LUC7L,5132
CACNA2D2,9098
BAIAP3,753
TSR3,1253
PIGQ,3694
CRAMP1,1440
TEAD3,2005
SELE,33
DNAJC11,1076
FMO3,875
MYLIP,4269
NOX1,48
E2F2,102
PSMB1,4365
SYN1,31
JARID2,1586
CDKL5,2257
CAMK1G,75
CDK11A,102
NADK,4055
TFAP2B,1
TFAP2D,0
DLEC1,1077
CYTH3,3293
ADAM22,307
SYPL1,5261
CYB561,4475
SPAG9,7452
CELSR3,203
AASS,2156
PLEKHG6,156
SS18L2,489
MPND,616
MGST1,5797
