gene_name,gene_type
TSPAN6,protein_coding
TNMD,protein_coding
DPM1,protein_coding
SCYL3,protein_coding
C1orf112,protein_coding
FGR,protein_coding
CFH,protein_coding
FUCA2,protein_coding
GCLC,protein_coding
NFYA,protein_coding
STPG1,protein_coding
NIPAL3,protein_coding
LAS1L,protein_coding
ENPP4,protein_coding
SEMA3F,protein_coding
CFTR,protein_coding
ANKIB1,protein_coding
CYP51A1,protein_coding
KRIT1,protein_coding
RAD52,protein_coding
MYH16,transcribed_unitary_pseudogene
BAD,protein_coding
LAP3,protein_coding
CD99,protein_coding
CD99,protein_coding
HS3ST1,protein_coding
AOC1,protein_coding
WNT16,protein_coding
HECW1,protein_coding
MAD1L1,protein_coding
LASP1,protein_coding
SNX11,protein_coding
TMEM176A,protein_coding
M6PR,protein_coding
KLHL13,protein_coding
CYP26B1,protein_coding
ICA1,protein_coding
DBNDD1,protein_coding
ALS2,protein_coding
CASP10,protein_coding
CFLAR,protein_coding
TFPI,protein_coding
NDUFAF7,protein_coding
RBM5,protein_coding
MTMR7,protein_coding
SLC7A2,protein_coding
ARF5,protein_coding
SARM1,protein_coding
POLDIP2,protein_coding
PLXND1,protein_coding
AK2,protein_coding
CD38,protein_coding
FKBP4,protein_coding
KDM1A,protein_coding
RBM6,protein_coding
CAMKK1,protein_coding
RECQL,protein_coding
VPS50,protein_coding
HSPB6,protein_coding
ARHGAP33,protein_coding
NDUFAB1,protein_coding
PDK4,protein_coding
SLC22A16,protein_coding
ZMYND10,protein_coding
ABCB5,protein_coding
ARX,protein_coding
SLC25A13,protein_coding
ST7,protein_coding
CDC27,protein_coding
SLC4A1,protein_coding
CALCR,protein_coding
HCCS,protein_coding
DVL2,protein_coding
PRSS22,protein_coding
UPF1,protein_coding
SKAP2,protein_coding
SLC25A5,protein_coding
MCUB,protein_coding
HOXA11,protein_coding
POLR2J,protein_coding
DHX33,protein_coding
MEOX1,protein_coding
THSD7A,protein_coding
LIG3,protein_coding
RPAP3,protein_coding
ACSM3,protein_coding
REXO5,protein_coding
CIAPIN1,protein_coding
SPPL2B,protein_coding
